Column1	Diet A N-Values	Diet C N-Values	Diet F N-Values	Diet G N-Values	Literature N-Values
Alanine	2.89	3.53	-0.04	5.03	3.95
Cysteine	5.02	11.09	11.75	-2.43	1.67
Aspartic Acid	4.49	-1.04	3.79	-1.07	2.5
Glutamic Acid	5.33	3.31	5.01	0.98	4.18
Phenylalanine	-0.15	0.39	1.95	0.49	0.47
Glycine	1.21	1.95	2.62	0.62	1.84
Histidine	2.12	3.38	6.3	0.43	2.15
Isoleucine	2.08	2.95	3.03	0.89	0.8
Lysine	0.12	2.19	-7.38	12.77	0.3
Leucine	3.01	3.91	2.38	4.38	0.7
Methionine	6.36	0.94	-7.62	9.75	1.02
Asparagine	-0.63	2.39	3.06	3.59	1.15
Proline	-0.36	0.72	1.05	0.73	1.57
Glutamine	3.21	2.34	3.1	4.68	3.62
Arginine	-4.47	0.6	-3.56	13.32	3.4
Serine	3.23	-0.21	1.27	0.08	1.96
Threonine	-0.27	2.75	3.24	4.88	0.21
Valine	4.88	-0.62	-0.65	2.4	0.79
Tryptophan	1.69	-4.2	2.39	3.64	0.06
Tyrosine	1	-1.96	2.03	0.06	0.5
